date,basin_perc_mm,gw_mean_head_m,gw_max_head_m
2022-01-01,0.0,232.46952237359625,261.618997
2022-01-02,0.0,232.46636171239678,261.618997
2022-01-03,0.0,232.46333395150668,261.618997
2022-01-04,0.0,232.4603737067323,261.618997
2022-01-05,0.0,232.4574703156707,261.618997
2022-01-06,0.0,232.45461987999903,261.618997
2022-01-07,0.0,232.45181909452722,261.618997
2022-01-08,0.0,232.44906390507973,261.618997
2022-01-09,0.0,232.44635153256726,261.618997
2022-01-10,0.0,232.44367929977804,261.618997
2022-01-11,0.0,232.44104456743327,261.618997
2022-01-12,0.0,232.4384450758672,261.618997
2022-01-13,0.0,232.4358793340504,261.618997
2022-01-14,0.0,232.4333453132239,261.618997
2022-01-15,0.0,232.43084198177257,261.618997
2022-01-16,0.0,232.4283682198003,261.618997
2022-01-17,0.0,232.42592297522057,261.618997
2022-01-18,0.0,232.4235050713649,261.618997
2022-01-19,0.0,232.4211136772964,261.618997
2022-01-20,0.0,232.41874798783155,261.618997
2022-01-21,0.0,232.41640696322403,261.618997
2022-01-22,0.0,232.414089612261,261.618997
2022-01-23,0.0,232.41179516139837,261.618997
2022-01-24,0.0,232.4095228450429,261.618997
2022-01-25,0.0,232.40727180699855,261.618997
2022-01-26,0.0,232.405041243033,261.618997
2022-01-27,0.0,232.40283016938446,261.618997
2022-01-28,0.0,232.40063831049594,261.618997
2022-01-29,0.0,232.39846491015913,261.618997
2022-01-30,0.0,232.3963094197234,261.618997
2022-01-31,0.0,232.39417138040866,261.618997
2022-02-01,0.0,232.39205022796435,261.618997
2022-02-02,0.0,232.38994573242562,261.618997
2022-02-03,0.0,232.38785754533765,261.618997
2022-02-04,0.0,232.38578525970968,261.618997
2022-02-05,0.0,232.38372856763192,261.618997
2022-02-06,0.0,232.38168703470083,261.618997
2022-02-07,0.0,232.3796604430596,261.618997
2022-02-08,0.0,232.37764851671568,261.618997
2022-02-09,0.0,232.37565101732392,261.618997
2022-02-10,0.0,232.37366767349943,261.618997
2022-02-11,0.0,232.37169824966782,261.618997
2022-02-12,0.0,232.3697423225766,261.618997
2022-02-13,0.0,232.3677997262547,261.618997
2022-02-14,0.0,232.36586966549234,261.618997
2022-02-15,0.0,232.36395216833745,261.618997
2022-02-16,0.0,232.3620469598649,261.618997
2022-02-17,0.0,232.36015384639862,261.618997
2022-02-18,0.0,232.35827265252104,261.618997
2022-02-19,0.0,232.35640319760998,261.618997
2022-02-20,0.0,232.35454530750152,261.618997
