HRU,sol_pfas_ugha,kf,nf
203,52095000.0,216.4,0.48
204,48300000.0,216.4,0.48
205,48300000.0,216.4,0.48
206,32175000.0,216.4,0.48
207,32175000.0,216.4,0.48
208,33120.0,450.2,0.43
209,33120.0,450.2,0.43
210,13892000.0,216.4,0.48
211,13892000.0,216.4,0.48
212,8580000.0,216.4,0.48
213,8580000.0,216.4,0.48
214,33350.0,450.2,0.43
215,33350.0,450.2,0.43
216,33350.0,450.2,0.43
217,25740.0,450.2,0.43
218,25740.0,450.2,0.43
219,25740.0,450.2,0.43
220,27180.0,216.4,0.48
221,27180.0,216.4,0.48
222,27180.0,216.4,0.48
223,36800.0,216.4,0.48
224,36800.0,216.4,0.48
225,35000.0,450.2,0.43
226,35000.0,450.2,0.43
227,40320.0,216.4,0.48
228,40320.0,216.4,0.48
229,40320.0,216.4,0.48
230,32200.0,216.4,0.48
231,32200.0,216.4,0.48
232,22500.0,216.4,0.48
233,13340000.0,450.2,0.43
234,13340000.0,450.2,0.43
235,13340000.0,450.2,0.43
236,15272000.0,450.2,0.43
237,15272000.0,450.2,0.43
238,15960000.0,216.4,0.48
239,15960000.0,216.4,0.48
240,15960000.0,216.4,0.48
241,16128000.0,216.4,0.48
242,16128000.0,216.4,0.48
243,14720000.0,216.4,0.48
244,14720000.0,216.4,0.48
245,13616000.0,216.4,0.48
246,13616000.0,216.4,0.48
247,11600000.0,450.2,0.43
248,11600000.0,450.2,0.43
249,12880000.0,216.4,0.48
250,12880000.0,216.4,0.48
251,14720000.0,450.2,0.43
252,14720000.0,450.2,0.43
253,14720000.0,216.4,0.48
254,14720000.0,216.4,0.48
255,14720000.0,216.4,0.48
256,14000000.0,450.2,0.43
257,14000000.0,450.2,0.43
258,11520000.0,450.2,0.43
259,11520000.0,450.2,0.43
260,13340000.0,450.2,0.43
261,13340000.0,450.2,0.43
262,14720000.0,216.4,0.48
263,14720000.0,216.4,0.48
264,12880000.0,216.4,0.48
265,12880000.0,216.4,0.48
266,50025000.0,450.2,0.43
267,50025000.0,450.2,0.43
268,48300000.0,216.4,0.48
269,48300000.0,216.4,0.48
270,13340000.0,450.2,0.43
271,13616000.0,216.4,0.48
272,13616000.0,216.4,0.48
273,13616000.0,216.4,0.48
274,50025000.0,450.2,0.43
275,54510000.0,216.4,0.48
276,54510000.0,216.4,0.48
277,54510000.0,216.4,0.48
278,12880000.0,216.4,0.48
279,12880000.0,216.4,0.48
280,14720000.0,450.2,0.43
281,14720000.0,450.2,0.43
282,14720000.0,216.4,0.48
283,14720000.0,216.4,0.48
284,14720000.0,216.4,0.48
285,13616000.0,216.4,0.48
286,13616000.0,216.4,0.48
287,13616000.0,216.4,0.48
288,14000000.0,450.2,0.43
289,14000000.0,450.2,0.43
290,13340000.0,450.2,0.43
291,13340000.0,450.2,0.43
292,14784000.0,216.4,0.48
293,14784000.0,216.4,0.48
294,14784000.0,216.4,0.48
295,12800000.0,450.2,0.43
296,12800000.0,450.2,0.43
297,12800000.0,450.2,0.43
298,36512000.0,216.4,0.48
299,36512000.0,216.4,0.48
300,36512000.0,216.4,0.48
301,13440000.0,216.4,0.48
302,13440000.0,216.4,0.48
303,13440000.0,216.4,0.48
304,7540000.0,450.2,0.43
305,7540000.0,450.2,0.43
306,7540000.0,450.2,0.43
307,10440000.0,450.2,0.43
308,10440000.0,450.2,0.43
309,10440000.0,450.2,0.43
310,15360000.0,450.2,0.43
311,15360000.0,450.2,0.43
312,13616000.0,216.4,0.48
313,13616000.0,216.4,0.48
314,13616000.0,216.4,0.48
315,15960000.0,216.4,0.48
316,15960000.0,216.4,0.48
317,15960000.0,216.4,0.48
318,10872000.0,216.4,0.48
