Channel,pfos_ngL
462,163.7869
463,0.336
464,0.0001
465,64.5845
466,0.6956
467,0.018
468,0.1922
469,3.9071
470,0.2598
471,0.5407
472,0.7989
473,0.4344
474,0.1727
475,0.0106
476,0.7962
477,0.4477
478,2.0523
479,52.5585
480,1.7039
481,166.2109
482,0.0
483,1.6828
484,2.4258
485,27.4891
486,0.0013
487,0.0061
488,0.0807
489,49.4679
490,2.0775
491,0.4861
492,0.0057
493,7.047
494,17.1747
495,0.2216
496,0.5316
497,0.0985
498,34.0148
499,30.419
500,2.3037
501,3.4624
502,0.0035
503,32.9439
504,1.1837
505,0.1958
506,0.4319
507,5.2385
508,0.0164
509,0.0969
510,18.1211
511,0.0015
512,85.1497
513,4.9561
514,1.249
515,0.0009
516,2.6678
517,3.7244
518,0.0586
519,9.6688
520,11.9208
521,0.0142
522,29.7918
523,0.0027
524,1.0788
525,9.9786
526,0.111
527,0.0028
528,1.139
529,28.2956
530,0.0
531,41.1905
532,0.0003
533,18.6193
534,0.1434
535,0.1392
536,0.1069
537,0.3712
538,0.3487
539,0.0
540,95.5917
541,30.1737
542,2.5103
543,0.2749
544,40.196
545,0.599
546,10.6128
547,24.1245
548,0.0001
549,2.9111
550,1.4233
551,21.1602
552,0.0006
553,0.0308
554,14.8076
555,0.9113
556,1.943
557,38.0191
558,0.001
559,5.426
560,0.0776
561,46.7033
562,36.2527
563,0.0104
564,5.6525
565,3.6073
566,1.6818
567,1.3199
568,8.3654
569,39.5859
570,0.0
571,0.1126
572,0.1577
573,1.5082
574,23.4786
575,2.2562
576,0.0928
577,0.7947
578,0.0693
579,0.237
580,23.8897
581,37.313
582,69.3003
583,1.3359
584,0.3318
585,0.0
586,0.0075
587,20.0807
588,16.7105
589,0.0011
590,2.1561
