catalog_model_id,workspace_model_id,label,site_no,station_name,usgs_da_km2,usgs_da_source,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,assignment_class,calibration_eligible,production_gis_channel,same_gis_as_production,notes
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151400,"LITTLE KANAWHA RIVER NR WILDCAT, WV",290.07866835763195,meta_csv,24000300035280,nhd_first_v1b_gnis,mainstem,Little Kanawha River,558,True,55,43.0,exact_crosswalk,24000300035280,0,True,290.58959998,253.6297181,0.8728107204024377,mainstem_clean,True,54,False,
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151500,"L KANAWHA R NR BURNSVILLE, WV",401.44815710208,meta_csv,24000300006899,nhd_first_v1b_levelpath,mainstem,Little Kanawha River,558,True,35,35.0,lake_outlet_replacement,24000300025462,8,True,400.38569999,385.80861219999997,0.9635923865653442,lake_outlet_review,False,946,False,Mapped at downstream step 8 to NHD 24000300025462 (ref 24000300006899).
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151520,"LITTLE KANAWHA RIVER BELOW BURNSVILLE DAM, WV",422.168061984768,meta_csv,24000300025462,nhd_first_v1b_gnis,mainstem,Little Kanawha River,558,True,35,35.0,exact_crosswalk,24000300025462,0,True,422.86229998,385.80861219999997,0.9123741043319479,mainstem_clean,True,35,True,
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151600,"LITTLE KANAWHA RIVER AT BURNSVILLE, WV",642.317051363328,meta_csv,24000300006361,nhd_first_v1b_gnis,mainstem,Little Kanawha River,558,True,27,27.0,lake_outlet_replacement,24000300006219,1,True,643.46460013,593.9554031,0.9230583982087008,lake_outlet_review,False,27,True,Mapped at downstream step 1 to NHD 24000300006219 (ref 24000300006361).
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03151915,"SAND FORK NEAR GLENVILLE, WV",204.8680595275776,meta_csv,24000300052751,nhd_first_v1b_gnis,mainstem,Sand Fork,558,True,88,76.0,exact_crosswalk,24000300052751,0,True,204.94639993,32.258902400000004,0.15740165433995482,mainstem_clean,True,87,False,
03152000,0503/huc12/03152000,0503/huc12/03152000 (nan),03152000,"LITTLE KANAWHA RIVER AT GLENVILLE, WV",1002.325398700032,meta_csv,24000300052104,nhd_first_v1b_gnis,mainstem,Little Kanawha River,558,True,8,8.0,lake_outlet_replacement,24000300061393,1,True,1001.0345002,773.1777518,0.7723787258536287,lake_outlet_review,False,6,False,Mapped at downstream step 1 to NHD 24000300061393 (ref 24000300052104).
