rank,model_id,site_no,run_label,parameter,mu,mu_star,sigma,mu_star_conf,status
31,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,urban_cn_b,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
32,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,urban_cn_d,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
33,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,bf_max,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
34,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,hru_ps,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
35,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,hru_es,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
36,0310/usgs_station/02297600,02297600,controlled_eval_02297600_split20260601,hru_frac,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
37,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,melt_min,-3.808615971133508,3.8200449750717125,9.84251042130378,3.5747271227593083,frozen_from_morris_si_csv
38,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,k,-3.6832033662257264,3.6832033662257264,3.7334227239399866,1.2763614186186163,frozen_from_morris_si_csv
39,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,cn3_swf,-3.319786242069085,3.319786242069085,2.024192501499616,0.6561063705069604,frozen_from_morris_si_csv
40,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,perco,3.1507446550748153,3.1507446550748153,4.925842175049741,1.6938152086238338,frozen_from_morris_si_csv
41,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,melt_max,-2.92550037993773,2.950877603091576,9.807120862535037,3.5722492437962106,frozen_from_morris_si_csv
42,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,urban_cn_c,2.8183380860795433,2.86810266034404,2.914881905241766,1.0308069757939855,frozen_from_morris_si_csv
43,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,mann,-1.7139770594846737,1.7819708848330407,1.377277350012554,0.5046214654966313,frozen_from_morris_si_csv
44,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,surq_lag,1.7715287895540395,1.7715287895540395,2.685011905228144,0.9953992525885728,frozen_from_morris_si_csv
45,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,urban_cn_a,1.3346675112717197,1.3346675112717197,1.1299986137988869,0.40824931285209604,frozen_from_morris_si_csv
46,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,fall_tmp,1.1369681637559432,1.1440157853037192,2.124501581174784,0.8501195287144603,frozen_from_morris_si_csv
47,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,melt_tmp,0.760622412467217,0.7922726244131226,1.105119008730487,0.4120818650849442,frozen_from_morris_si_csv
48,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,frac_dc_imp,0.5882398964898017,0.6416873278904034,0.5475648944845873,0.16733787216777182,frozen_from_morris_si_csv
49,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,urban_cn_d,0.5138445714855071,0.568802104480462,0.6073773637079333,0.2143846624734087,frozen_from_morris_si_csv
50,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,tmp_lag,-0.4166768407656723,0.4628001390062886,0.9299017373772923,0.322993144390536,frozen_from_morris_si_csv
51,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,urban_cn_b,0.3251172753432624,0.3409037276906145,0.24144636662834684,0.07698467572044654,frozen_from_morris_si_csv
52,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,esco,-0.1046376387138251,0.10561650984541965,0.09069480478570467,0.029786944735641207,frozen_from_morris_si_csv
53,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,epco,-0.0555567892258941,0.05581745632276502,0.05722508802364782,0.020955517850842598,frozen_from_morris_si_csv
54,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,dp_es,-0.04211416538078016,0.04211416538078016,0.027775864529269,0.010597491028946339,frozen_from_morris_si_csv
55,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,flo_min,0.034430064569970886,0.03774950792345772,0.057541345610939376,0.019692884844766334,frozen_from_morris_si_csv
56,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,vol_dp_b,0.02244816961050034,0.025219567641678833,0.055851327978042264,0.02133577983679017,frozen_from_morris_si_csv
57,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,dp_ps,0.012193534840550635,0.024527469595674905,0.03418414231088472,0.008837371290121371,frozen_from_morris_si_csv
58,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,dep_wt,-0.02393889082535318,0.02404078796260678,0.046484779400424996,0.016819528247718922,frozen_from_morris_si_csv
59,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,vol_dp_a,-0.010833023250134946,0.01132126931927994,0.036692245086991204,0.01290746023864737,frozen_from_morris_si_csv
60,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,vol_area_co,-0.008249086511476052,0.0094691213052583,0.027024218377912752,0.010201215394108112,frozen_from_morris_si_csv
61,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,dep_bot,-0.002564334774691689,0.0026995231331460746,0.00803847425202246,0.0031058846926945603,frozen_from_morris_si_csv
62,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,spec_yld,7.779195154442957e-05,0.002522829374895113,0.0058786317708466665,0.0016933775922128701,frozen_from_morris_si_csv
63,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,alpha_bf,0.0015141484601532047,0.001890047267911674,0.006003114372998267,0.00215451601205124,frozen_from_morris_si_csv
64,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,gw_flo,-0.00014757426558136154,0.00014970209420230493,0.0005955840409976072,0.0002260726933069279,frozen_from_morris_si_csv
65,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,revap_min,-7.078936158800965e-05,7.078936158800965e-05,0.0002560805447477825,9.588039637668871e-05,frozen_from_morris_si_csv
66,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,cn_froz,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
67,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,frac_imp,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
68,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,urb_cn,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
69,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,bf_max,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
70,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,hru_ps,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
71,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,hru_es,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
72,0712/usgs_station/05536265,05536265,controlled_eval_05536265_split20260601,hru_frac,0.0,0.0,0.0,0.0,frozen_from_morris_si_csv
