tier,catalog_model_id,workspace_model_id,label,fresh_rerun_wall_min,cpu_count,worker_count,peak_ram_gb,git_sha,env_id,run_datetime,status,notes
S,03080102,0308/huc12/030801020804,Oklawaha (FL),8.23,10,1,,84fe0c7,production_celery_vmi2525606,2026-05-14T06:38:28Z,measured_celery_job,Celery worker job duration for 0308/huc12/030801020804 on vmi2525606 (10 vCPU; warm local caches).
M,09471300,1505/huc12/09471300,Upper San Pedro (AZ),22.79,10,1,,84fe0c7,production_celery_vmi2525606,2026-05-06T22:44:44Z,measured_celery_job,Celery worker job duration for 1505/huc12/09471300 on vmi2525606 (10 vCPU; warm local caches).
L,03100101,0310/huc8/03100101,Peace River HUC-8,88.53,10,1,,84fe0c7,production_qswat_log_vmi2525606,2026-04-28T06:32:03Z,measured_qswat_assembly_max,Maximum logged QSWAT+ project-assembly wall time for admin 0310/huc8/03100101 during Apr 2026 production build (completing Celery pass was warm-cache incremental).
