usgsSiteNo,stationName,gisChannel,swatLcha,swatplusDrainageAreaKm2,nhdHrTotdasqkmKm2,nwisDrainageAreaKm2,wbdUpstreamHu12AreaKm2,ratioSwatNhd,ratioSwatNwis,auditClass
03151400,"LITTLE KANAWHA RIVER NR WILDCAT, WV",54,42,259.34,290.59,290.08,340.09,0.8925,0.894,swat_nhd_ok
03151500,"L KANAWHA R NR BURNSVILLE, WV",946,907,2.84,400.39,401.45,559.42,0.0071,0.0071,assignment_outlier_low
03151520,"LITTLE KANAWHA RIVER BELOW BURNSVILLE DAM, WV",35,35,385.81,422.52,422.17,559.42,0.9131,0.9139,swat_nhd_ok
03151600,"LITTLE KANAWHA RIVER AT BURNSVILLE, WV",27,27,593.96,643.46,642.32,935.45,0.9231,0.9247,swat_nhd_ok
03151915,"SAND FORK NEAR GLENVILLE, WV",87,75,35.09,204.95,204.87,207.62,0.1712,0.1713,assignment_outlier_low
03152000,"LITTLE KANAWHA RIVER AT GLENVILLE, WV",6,6,780.55,1002.4,1002.33,1016.36,0.7787,0.7787,swat_nhd_ok
