usgsSiteNo,stationName,gisChannel,swatLcha,swatplusDrainageAreaKm2,nhdHrTotdasqkmKm2,nwisDrainageAreaKm2,wbdUpstreamHu12AreaKm2,ratioSwatNhd,ratioSwatNwis,auditClass
09498800,"TONTO CREEK NEAR GISELA, ARIZ.",1003,1003,145.45,1118.93,1113.69,145.48,0.13,0.1306,assignment_outlier_low
09498870,"RYE CREEK NR GISELA, ARIZ.",459,459,317.5,316.82,315.98,317.75,1.0021,1.0048,swat_nhd_ok
09499000,"TONTO CREEK ABOVE GUN CREEK, NEAR ROOSEVELT, AZ",228,228,1739.69,1739.21,1748.24,1739.66,1.0003,0.9951,swat_nhd_ok
09499500,TONTO C NR ROOSEVELT ARIZ,1220,1220,30.77,2070.97,2178.18,2193.73,0.0149,0.0141,assignment_outlier_low
