usgsSiteNo,stationName,gisChannel,swatLcha,swatplusDrainageAreaKm2,nhdHrTotdasqkmKm2,nwisDrainageAreaKm2,wbdUpstreamHu12AreaKm2,ratioSwatNhd,ratioSwatNwis,auditClass
07173300,"M CANEY C AT SEDAN, KS",78,78.0,309.99,309.23,309.24,405.57,1.0024,1.0024,swat_nhd_ok
07173500,"BEE C NR HAVANA, KS",376,357.0,29.44,29.41,28.49,88.12,1.001,1.0334,swat_nhd_ok
07174000,"Little Caney River near Copan, OK",1,,,1103.86,1098.15,1116.88,,,missing_chandeg
