usgsSiteNo,stationName,gisChannel,swatLcha,swatplusDrainageAreaKm2,nhdHrTotdasqkmKm2,nwisDrainageAreaKm2,ratioSwatNhd,ratioSwatNwis,auditClass
05536265,"LANSING DITCH NEAR LANSING, IL",25,25,39.86,38.74,56.97,1.0291,0.6998,swat_nhd_ok
05536270,"NORTH CREEK NEAR LANSING, IL",16,16,2.71,45.71,56.97,0.0593,0.0476,assignment_outlier_low
