usgsSiteNo,stationName,gisChannel,swatLcha,swatplusDrainageAreaKm2,nhdHrTotdasqkmKm2,nwisDrainageAreaKm2,wbdUpstreamHu12AreaKm2,ratioSwatNhd,ratioSwatNwis,auditClass
05536265,"LANSING DITCH NEAR LANSING, IL",25,25,39.86,23.57,22.9,56.97,1.691,1.7411,swat_nhd_ok
05536270,"NORTH CREEK NEAR LANSING, IL",16,16,2.71,42.72,43.51,56.97,0.0635,0.0623,assignment_outlier_low
