reach,PFOS,PFOA,PFHxS,PFBS,PFHxA
0,0.8286675496511466,0.7115202597719669,0.7046570339681693,0.6297433238520351,0.43394389400706995
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.9272619999496967,0.8172413346461778,0.8096417552845692,0.7265814799621024,0.462254329795985
6,0.8757426298770501,0.7610812053441857,0.7528580428537789,0.6632807072466667,0.43610080187389455
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.8990999222504344,0.7989399336503442,0.7913406376314018,0.7073109239725265,0.47135533999474005
10,0.9237245476135586,0.7972392564028489,0.7869345024923862,0.6771001563931607,0.4051273848090129
11,0.8756073902519846,0.7975394663794528,0.7914489531988234,0.7218197167782883,0.4298686398027038
12,0.8309043587899496,0.7332994090256283,0.7277249406785843,0.6645299080268223,0.46269815165111505
13,0.9088333770131094,0.7827957745785998,0.7736709080519049,0.6747413804671286,0.43796846262449873
14,0.8963116773382036,0.8079133594112391,0.8012124564436588,0.7271740479548717,0.5222316306633751
15,0.0,0.0,0.0,0.0,0.0
16,0.9152312377238536,0.8580541680294453,0.8527916626525903,0.7933284174624393,0.6051096293572299
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.9311902737895401,0.8226448186488418,0.8124866362162229,0.6866223139721314,0.31544855697509894
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.8986601053306355,0.7824706090284379,0.7736768887770469,0.6787312565587225,0.42934983854412784
25,0.0,0.0,0.0,0.0,0.0
26,0.9057833702328357,0.7961314361532643,0.7878774994260889,0.6982961935339032,0.47583713752548357
27,0.8785064666499434,0.8025314499047769,0.7964999983859897,0.7259282728829709,0.5114770304446528
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.8562792949695163,0.7624981320462889,0.7563669008325512,0.6900201175052847,0.5039791138579796
31,0.8593882433347094,0.7310584119547426,0.721750821668062,0.6154701451258958,0.32682619363565846
32,0.9300147085491661,0.8238709613255295,0.8155572585543185,0.7253910431907309,0.4994916464907641
33,0.0,0.0,0.0,0.0,0.0
34,0.9000308952027473,0.8330965751051611,0.8270078721266971,0.7514206452330332,0.5051482294138163
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,0.8856637017560619,0.7959418927065207,0.7890596625293695,0.7122465911406721,0.43609028889043616
38,0.8624006925893246,0.7786223220920874,0.7727360099155259,0.7054249685674985,0.49345167322723427
39,0.8725837023023205,0.8021982582009012,0.7973851078514244,0.7388766767632043,0.5273298888041169
