reach,PFOS,PFOA,PFHxS,PFBS,PFHxA,tot,PFOS_f,PFOA_f,PFHxS_f,PFBS_f,PFHxA_f
103,0.9148458364801312,0.7952229264207491,0.7846246758760229,0.6609014388564337,0.382727415360662,3.5383222929939993,0.25855356316510725,0.2247457581790438,0.22175048254637714,0.18678384390394326,0.10816635220552846
104,0.92718416189723,0.8348535202880683,0.8278570334702726,0.7543191192421895,0.5196015408118573,3.863815375709618,0.23996595896535192,0.21606972360441556,0.21425895209038828,0.19522649140647755,0.1344788739333666
105,0.91835775299006,0.8056965180602165,0.7965985686163823,0.6950759549812647,0.3763065491660227,3.5920353438139463,0.25566501024874866,0.2243008325204131,0.22176802073739368,0.19350476497351163,0.10476137151993288
106,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
107,0.8673132944101353,0.7753119225830782,0.7686164827575063,0.6958310108021482,0.5009034628836206,3.607976173436488,0.2403877555499613,0.2148883155856922,0.2130325827582787,0.19285909256418127,0.1388322535418867
108,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
109,0.9161194698620948,0.8298296640877153,0.8226748143550451,0.7431470941625382,0.5039269911025727,3.815698033569966,0.24009223523512777,0.2174778131778229,0.21560270417555832,0.1947604573591611,0.13206679005232988
110,0.9334239830223048,0.7636503653386376,0.7514094936069078,0.6135795878108853,0.2706095346234292,3.332672964402165,0.28008268227715166,0.22914050478266051,0.22546751560476028,0.18411035056989244,0.08119894676553502
111,0.928855998536268,0.8134705449318942,0.8054246582423943,0.7198275155341166,0.4623948722481191,3.7299735894927926,0.249024819144249,0.2180901621457623,0.21593307269285977,0.19298461457256588,0.12396733144456293
112,0.8809307867575262,0.7734282456452993,0.7654348286721553,0.6772473501479574,0.4460536083247238,3.5430948195476626,0.24863313899964787,0.21829171530443006,0.21603566025079632,0.19114570301971762,0.12589378242540805
113,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
114,0.9179518367657096,0.8110715483699897,0.8027954685895033,0.714644009124962,0.389361005405768,3.6358238682559327,0.25247423143355996,0.2230777886276027,0.22080152880854376,0.19655627858226513,0.10709017254802843
115,0.908667889066215,0.8096713832688879,0.8017984813006009,0.7148602570599213,0.4740195174634243,3.709017528159049,0.24498883657668433,0.2182980741185022,0.21617543600517017,0.1927357451488611,0.12780190815078227
116,0.9340521403335712,0.8262372717474784,0.8173050906309329,0.7167945889555849,0.4431078055230175,3.737496897190585,0.2499138236169996,0.22106701208730029,0.21867712886806345,0.19178466462256802,0.11855737080506858
117,0.9256663469556784,0.8358035381740203,0.8284976024485977,0.7440580675212204,0.3888986143579252,3.722924169457442,0.24863959211142883,0.22450189693114958,0.22253947830727325,0.19985850735972824,0.10446052529042006
118,0.8611727688917212,0.7645806452170557,0.758109747966667,0.6862025458841567,0.4753515851391659,3.5454172930987666,0.24289743567506514,0.21565321709952984,0.21382807305711077,0.19354634141934865,0.1340749327489456
119,0.934465437708662,0.8066911421179318,0.7974343581101742,0.6978548495119838,0.4604862389092096,3.6969320263579615,0.25276781694827427,0.21820556514603945,0.21570165543340214,0.1887659401191308,0.12455902235315329
120,0.897930773311331,0.8159284193798466,0.8094378365957446,0.7365982317688459,0.5293530335196649,3.7892482945754327,0.2369680484112852,0.21532725119858306,0.21361435664021017,0.19439165093069685,0.1396986928192248
121,0.895059406961661,0.7737498792130859,0.7622581536257195,0.5981043106918902,0.2773109488838212,3.306482699376178,0.27069834877119686,0.23400995848521045,0.23053444488596053,0.18088838353962425,0.08386886431800791
122,0.9258627680371396,0.8667232229671801,0.8610349080826488,0.7949769203368522,0.5857457735229695,4.03434359294679,0.2294952689839849,0.21483624361654896,0.21342627077871829,0.19705235858609163,0.14518985803465626
123,0.9131031532001476,0.8090223617582669,0.8002712045870909,0.7029001572674349,0.4589772789909244,3.684274155803865,0.24783800406430917,0.21958799143212723,0.2172127183658191,0.1907838905419541,0.12457739559579029
124,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
125,0.8853319983374613,0.7858444718915639,0.7781135265946756,0.692972390512679,0.4659415554742339,3.608203942810613,0.2453663962375229,0.21779380665479506,0.21565120456815517,0.1920546625124764,0.12913393002705062
126,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
127,0.9483547320319816,0.8538840973307942,0.8445945058885241,0.7238021005003543,0.3288646286458538,3.6995000643975082,0.25634672672628495,0.23081067237928424,0.22829963270349957,0.19564862492257612,0.08889434326835507
128,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
129,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
130,0.934269769600478,0.8104660267984589,0.8013520637322786,0.702497166266502,0.4524246538087124,3.70100968020643,0.25243645662347136,0.21898511401711704,0.21652255275581497,0.18981230176823508,0.1222435748353616
131,0.8933212413947175,0.7908786449520864,0.7829947999041745,0.6969553588779506,0.4714252561565424,3.6355753012854715,0.24571661081503546,0.21753878806263385,0.2153702605547249,0.19170428367458658,0.12967005689301916
132,0.912566075097914,0.807397447524106,0.7994332129041118,0.7118670482642699,0.4844700196559428,3.7157338034463443,0.24559511616561677,0.21729152039235014,0.21514813901971053,0.19158182095929827,0.13038340346302435
133,0.9214643722779146,0.8446093927508463,0.8375187138920787,0.7562161794975987,0.525861985629365,3.8856706440478033,0.23714422983570255,0.21736515266538262,0.21554032511093474,0.19461664375903687,0.13533364862894326
