reach,row,col,Channel,d
720,69,88,230,54.32526043443536
721,126,40,192,96.84012081217058
722,35,33,70,77.88957774180382
723,30,46,142,11.34199897028551
724,125,23,222,37.07360723924476
725,85,60,74,146.98842426393205
726,67,37,139,133.38759481986696
727,59,40,233,9.920652440656207
728,73,23,115,94.40233182874833
729,116,92,270,3.7704264316062375
730,115,24,191,14.987539702611194
731,41,43,127,124.07777605973436
732,122,18,177,12.14937298439374
733,84,64,163,67.19623274125506
734,89,90,195,24.125645212873636
735,39,33,72,76.24307902028627
736,104,48,76,62.47364799334126
737,79,83,101,95.09241584316105
738,128,49,67,58.650967053746214
739,135,83,107,1.5173502761516349
740,74,46,108,18.224216438257145
741,59,44,354,34.84736372099095
742,93,26,538,36.09545850399332
743,69,87,230,122.91607018674299
744,126,41,192,156.2801019300317
745,36,33,60,94.45133756517808
746,30,45,142,15.460566546882628
747,124,21,379,35.15752703961152
748,85,59,255,27.21117831474315
749,68,37,139,99.19179207557363
750,60,40,233,12.877615716693649
751,73,24,115,56.6979715039289
752,115,92,270,58.40222838044424
753,41,42,127,57.824355661643025
754,122,19,177,61.89839941806701
755,85,64,163,143.15651173838728
756,89,89,195,55.97255388102817
757,104,47,71,101.39501543376286
758,80,83,101,74.42921261562404
759,127,49,67,62.28382391419593
760,75,45,97,56.196104791200405
761,59,44,354,34.84736372099095
762,93,26,538,36.09545850399332
763,70,87,230,149.30177276549722
764,125,41,192,25.78359870224318
765,39,33,72,76.24307902028627
766,30,44,142,19.580296460390937
767,123,21,176,95.78907478675718
768,85,58,66,76.9312114083103
769,68,38,45,42.69387943710886
770,61,40,233,82.12060395535757
771,73,24,115,56.6979715039289
772,115,91,270,109.66753671049243
773,41,41,127,58.6539737760802
774,122,20,176,31.403472107905948
775,85,63,163,47.564307437564686
776,89,88,195,23.086889040610497
777,104,47,71,101.39501543376286
778,81,83,86,75.84350843714124
779,127,48,67,165.86901182441846
780,74,46,108,18.224216438257145
781,59,43,133,43.57413481317825
782,94,26,250,139.39228508328415
783,70,88,230,67.625586868072
784,125,42,192,115.83738920183505
785,38,33,57,97.92050764027312
786,30,44,142,19.580296460390937
787,123,20,176,22.465769042631194
788,62,40,233,27.23515092458905
789,73,25,106,65.03145924157985
790,116,91,270,119.98046503807441
791,41,40,127,167.36433360861315
792,86,63,163,28.377839862393675
793,89,87,195,93.06101886644991
794,103,47,71,105.22740049383361
795,126,48,67,83.58639178200868
796,74,45,97,134.21821088099472
797,60,43,133,34.66288608587423
798,94,27,250,37.078582480494646
799,71,88,230,87.23808994256157
800,124,42,192,52.28432963225301
801,37,33,57,95.75040313500942
802,122,20,176,31.403472107905948
803,73,26,106,28.30850491475295
804,115,90,270,96.75015778197556
805,42,40,127,51.45435563481339
806,86,62,74,13.689789330063533
807,90,87,195,122.54737028492457
808,102,47,71,49.67685404766997
809,125,48,73,91.38852843182885
810,75,45,97,56.196104791200405
811,61,43,118,11.340839157489176
812,94,27,250,37.078582480494646
813,71,89,230,129.83442337132578
814,124,43,22,13.734670481436313
815,36,33,60,94.45133756517808
816,122,20,176,31.403472107905948
817,73,27,106,104.66101334267927
818,116,90,270,112.87979881771214
819,42,39,127,64.49634738099363
820,90,86,195,56.0876477108282
821,101,47,315,3.316043453065992
822,129,50,65,15.777495491293951
823,76,45,88,59.02293108904938
824,61,43,118,11.340839157489176
825,94,28,237,88.06000092691585
826,72,89,230,159.8509351601858
827,124,43,22,13.734670481436313
828,39,33,72,76.24307902028627
829,121,20,177,141.19173945611803
830,72,27,106,18.985092363502282
831,116,89,270,81.8703713456284
832,42,38,127,70.8976485809695
833,90,85,195,134.40596922567082
834,101,46,68,78.05275623436138
835,130,50,20,27.3158428781581
836,76,44,88,91.77628654126667
837,62,43,118,120.18140225988442
838,95,28,237,86.64436406749432
839,72,88,230,12.999235781665435
840,39,33,72,76.24307902028627
841,121,21,150,60.59761330614279
842,72,28,106,32.337388083764914
843,115,89,270,32.361259373257326
844,42,38,127,70.8976485809695
845,91,85,195,16.904400261478212
846,101,47,315,3.316043453065992
847,130,50,20,27.3158428781581
848,77,44,88,91.76149458654277
849,62,42,118,23.811843543963025
850,95,29,237,152.1311432968926
851,72,87,477,119.27633012787415
852,40,33,54,107.28586838267178
853,121,22,150,67.0957275928588
854,72,29,106,14.129315810530153
