reach,gwf_q_m3d
0,92.55082012812302
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,1351.7935763745713
6,172.56114973956394
7,-0.0
8,-0.0
9,392.2805479168461
10,308.39626126411343
11,29.535907314988773
12,234.3580478992731
13,68.91341437111556
14,551.9480176611963
15,-0.0
16,262.5096742199303
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,710.2416320744417
22,-0.0
23,-0.0
24,23.353331915931964
25,-0.0
26,405.6712134175547
27,13.75320203156998
28,-0.0
29,-0.0
30,56.37974214283535
31,13.028004612099805
32,150.27385456246742
33,-0.0
34,193.52286982859152
35,-0.0
36,-0.0
37,0.7633129367338904
38,87.78569507434746
39,336.4882861118144
40,23.318697923211666
41,327.27742306193437
42,-0.0
43,-0.0
44,-0.0
45,419.5608119628942
46,-0.0
47,-0.0
48,202.71975552644412
49,-0.0
50,280.659054529721
51,452.1111599276875
52,131.52412293576535
53,-0.0
54,54.7629452315842
55,187.66569968684132
56,-0.0
57,559.6070281340582
58,437.89334234671855
59,1036.1593900963885
60,200.40004147790594
61,-0.0
62,42.68698010302771
63,938.5898050552519
64,1655.9584886656555
65,474.3112732564999
66,164.67762031893844
67,1232.6259095363887
68,689.2182418800985
69,97.00613955900478
70,-77.79234801883975
71,722.5544172950945
72,-0.0
73,-0.0
74,-0.0
75,1241.1587411681253
76,-0.0
77,-0.0
78,-23.353331915931964
79,175.56902710031108
80,204.7324710714265
81,62.733360254994814
82,418.0875472467073
83,-0.0
84,199.78528842980305
85,235.7170566098115
86,12.549490406768806
87,-0.0
88,-0.0
89,819.4143006234984
90,-0.7633129367338904
91,3.5317161914156063
92,243.70246822639416
93,103.6853935324676
94,-66.31510937013294
95,-0.0
96,-0.0
97,-0.0
98,27.49303524436629
99,-0.0
100,-0.0
101,413.75646518708356
102,43.29035378949714
103,171.75914712401027
104,84.08577499540819
105,904.8860548274922
106,-0.0
107,-43.39727727843412
108,-0.0
109,254.71227479848764
110,-32.82339661267222
111,324.34369295913973
112,10.37921375290945
113,-0.0
114,348.17348223535413
115,594.3572157729695
116,1087.1795735530009
117,115.60147489223294
118,367.6774317301242
119,-223.9833377753313
120,23.319946817215907
121,-97.00613955900478
122,333.5366039923863
123,177.2708447757756
124,-0.0
125,269.6243982747438
126,-0.0
127,954.7887189281055
128,-0.0
129,-0.0
130,1841.2536842269772
131,426.2438414113912
132,714.6942789156087
133,-48.31141165893798
134,299.8053013126431
135,292.09281828644436
136,385.95408088211235
137,-48.180706636494364
138,-0.0
139,-0.0
140,74.14534826971227
141,135.12459162548214
142,33.305060034622976
143,116.34041974649578
144,-0.32569684135230353
145,251.81719252020972
146,-0.0
147,-0.0
148,926.7225360548831
149,56.36131509606747
150,-0.0
151,-0.0
152,249.0050879402688
153,-17.2596235396851
154,20.822556487600227
155,1345.7622060876524
156,402.8361952224171
157,-0.0
158,855.4666197780989
159,-0.0
160,-814.3193029325458
161,376.19205080547215
162,1491.413367716
163,-0.0
164,-390.8604623383818
165,245.4669669550078
166,-207.71020664995103
167,839.447856616694
168,262.3616718205245
169,-163.8690858214932
170,318.2760721947261
171,-0.0
172,781.5677021351324
173,105.64417915504467
174,245.53494812836541
175,-244.81822981795403
176,-0.0
177,-0.0
178,-357.1981167365011
179,-105.20573197919758
180,1463.8185961409943
181,161.30982921521166
182,-31.88547560062196
183,7.176422463737547
184,-16.59209745013085
185,-0.0
186,-0.0
187,1.0621037485490008
188,262.78157422192385
189,202.46056115646653
190,-204.1610494032107
191,431.59966844269036
192,-0.0
193,-926.7225360548831
194,116.51935157061955
195,-0.0
196,320.6646279042723
197,-521.7343438213801
198,148.6335799967784
199,794.2954669196962
200,716.0309323372776
201,-0.0
202,160.10229059509922
203,-0.0
204,580.2622756831822
205,1300.1674794351609
206,1173.4990686523565
207,-0.0
208,824.2491903085067
209,-233.60603035661498
210,-656.6838344085418
211,757.6592758852513
212,384.5614875736637
213,-358.0384401005726
214,59.79481261507011
215,836.7402140762002
216,-436.3049750027969
217,996.3550890546541
218,-751.0297214491412
219,-0.0
220,-0.0
221,-111.19578587542071
222,409.4674419667599
223,477.6715934259842
224,376.1385725263855
225,350.40036438754794
226,110.62201124079776
227,835.9284179631271
228,-0.0
229,-0.0
230,24.39011715111316
231,217.26806160849816
232,93.57248982117518
233,-482.3123334409041
234,-431.59966844269036
235,-0.0
236,-0.0
237,552.0738487717274
238,-0.0
239,6.522589599293449
240,-153.95351761977324
241,914.7630910984259
242,-881.1926103778302
