instream_lower,instream_mid,gw_plume,baseflow
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
44.4694,16.1481,1162.98,11.5903
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
34.5816,26.8805,1159.79,11.591
31.2556,24.2374,1159.79,11.591
31.259,24.1952,1162.2,11.1983
30.6981,24.1979,1119.95,11.1983
30.5273,24.1634,1119.42,11.1973
30.5272,24.1634,1119.42,11.1973
30.4992,24.0326,1120.13,9.92817
30.503,24.0162,1119.43,9.92817
19.2327,14.8373,1119.43,9.92817
19.2317,14.831,1119.51,9.88987
16.5257,13.3074,1125.21,3.75428
16.2174,13.0269,1116.43,3.75428
16.0553,12.9637,1123.49,2.23967
16.5179,13.3602,1123.49,2.23967
16.5939,13.3597,24103.7,2.23967
16.5216,13.3412,23683.8,1.26489
12.8878,10.448,23683.8,1.26489
12.864,10.4409,23650.3,1.26489
13.2241,10.4459,23868.8,1.26489
9.73956,7.0451,5576.61,3.77522
10.8694,7.94338,5576.61,3.77522
11.3241,7.96569,5604.31,3.77522
11.1065,7.97129,5611.91,3.77522
10.9932,7.76215,5530.4,1.9415
11.9303,7.7603,5822.36,1.9415
11.9105,7.76033,5825.66,1.94264
26.4342,19.5723,5825.66,1.94264
42.1895,20.2874,5678.67,2.97081
41.4995,19.6577,5670.96,2.97081
38.1397,16.981,5670.96,2.97081
37.2256,16.1949,5670.96,2.97081
36.1235,16.2254,5672.97,3.31444
35.6179,16.2321,5668.58,3.47361
35.6179,16.2321,5668.58,3.47361
34.192,16.2509,5292.47,3.47361
20.3185,16.0321,5113.2,2.36932
20.2846,16.0391,5129.54,2.63783
34.0916,16.1402,112906,2.63783
nan,nan,nan,nan
14.5769,7.78353,1179.13,11.3561
14.9046,7.71093,1235.33,11.3561
19.1412,6.93063,1218.67,3.53248
20.1932,7.76728,1218.67,3.53248
20.7768,7.7293,1226.29,3.53248
21.658,8.50253,1232.74,3.53248
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
27.7323,22.3537,1238.01,2.82291
27.7083,22.3549,1161.14,2.82291
27.7083,22.3549,1161.14,2.82291
27.7108,22.3532,1154.95,2.82291
27.7105,22.353,1154.74,2.82255
27.662,22.3145,1162.05,2.53512
29.922,22.387,24683.8,2.53512
31.1811,23.4655,24683.8,2.53512
194.994,12.5932,23832.9,21.6595
193.686,14.2784,23846.1,21.6595
191.834,13.1604,23797.2,21.6595
22.3717,11.7506,1108.78,21.6595
24.9913,10.8456,1112.34,8.80484
24.9913,10.8456,1112.34,8.80484
12.1947,9.91393,1111.43,8.07557
12.5436,10.2139,1111.43,8.07557
13.8636,10.2139,1159.31,8.07557
14.6034,10.2121,1197.6,8.07557
14.5956,10.2017,1195.9,7.76821
14.5546,10.1545,1196.3,6.40876
12.5617,10.0415,1226.18,3.5112
