catalog_model_id,workspace_model_id,label,site_no,station_name,usgs_da_km2,usgs_da_source,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,assignment_class,calibration_eligible,production_gis_channel,same_gis_as_production,notes
04288295,0430/huc12/04288295,0430/huc12/04288295 (VT),04288225,"W BRANCH LITTLE R ABV BINGHAM FALLS NEAR STOWE, VT",12.09524447526912,meta_csv,60000200048975,nhd_first_v1b_gnis,tributary,West Branch Little River,460,False,204,173.0,exact_crosswalk,60000200048975,0,True,12.43009998,12.4294201,0.9999453037384177,tributary_clean,True,204,True,
04288295,0430/huc12/04288295,0430/huc12/04288295 (VT),04288230,"RANCH BROOK AT RANCH CAMP, NEAR STOWE, VT",9.8419548192768,meta_csv,60000200022478,nhd_first_v1b_gnis,tributary,Ranch Brook,460,False,235,204.0,exact_crosswalk,60000200022478,0,True,10.63959998,10.6517365,1.0011406932612894,tributary_clean,True,235,True,
04288295,0430/huc12/04288295,0430/huc12/04288295 (VT),04288295,"LITTLE RIVER NEAR STOWE, VT",172.49320814837756,meta_csv,60000200036027,nhd_first_v1b_gnis,mainstem,Little River,558,True,31,15.0,exact_crosswalk,60000200036027,0,True,172.72210004,172.74954580000002,1.0001589012639012,mainstem_clean,True,31,True,
04288295,0430/huc12/04288295,0430/huc12/04288295 (VT),04289000,"LITTLE RIVER NEAR WATERBURY, VT",287.488680247296,meta_csv,60000200014414,nhd_first_v1b_gnis,mainstem,Little River,558,True,6,6.0,exact_crosswalk,60000200014414,0,True,286.96730013,286.9809798,1.000047669786745,mainstem_clean,True,6,True,
