vpuid,site_no,nwis_drain_area_km2,wbd_upstream_hu12_area_sqkm,wbd_over_nwis_ratio,wbd_minus_nwis_pct
0310,02300100,81.3256,97.7217,1.2016,20.16
0310,02300130,20.3573,234.2883,11.5088,1050.88
0310,02300210,55.4257,100.7379,1.8175,81.75
0310,02300300,99.4555,100.7379,1.0129,1.29
0310,02300430,9.324,403.3707,43.2618,4226.18
0310,02300500,385.9082,403.3707,1.0453,4.53
0310,02300530,20.9789,535.3333,25.5177,2451.77
0310,02300546,528.3576,586.577,1.1102,11.02
0310,02300700,75.3687,104.205,1.3826,38.26
0310,02300703,94.0166,104.205,1.1084,10.84
0310,02300705,101.7865,104.205,1.0238,2.38
0310,02300882,101.0095,317.0658,3.139,213.9
0310,02300930,67.0807,63.9033,0.9526,-4.74
0310,02300978,81.3256,102.5185,1.2606,26.06
0310,02300995,8.4693,317.0658,37.4372,3643.72
0310,02301000,349.6484,317.0658,0.9068,-9.32
0310,02301150,188.0331,230.3228,1.2249,22.49
0310,02301300,277.1287,358.3351,1.293,29.3
0310,02301314,9.5571,358.3351,37.4943,3649.43
0310,02301325,675.9869,914.4806,1.3528,35.28
0310,02301328,717.4267,914.4806,1.2747,27.47
0310,02301350,22.4034,59.4554,2.6539,165.39
0310,02301400,36.7778,110.4999,3.0045,200.45
0310,02301500,867.646,914.4806,1.054,5.4
0310,02301638,973.8355,1040.3536,1.0683,6.83
0310,02301695,18.4407,1040.3536,56.4161,5541.61
0310,02301718,1072.2551,1040.3536,0.9702,-2.98
0310,02301719,1085.205,1040.3536,0.9587,-4.13
0310,02301721,1082.615,1040.3536,0.961,-3.9
0310,02301738,7.511,107.2764,14.2826,1328.26
0310,02301740,15.773,107.2764,6.8013,580.13
0310,02301745,5.18,107.2764,20.7098,1970.98
0310,02301750,41.6988,107.2764,2.5726,157.26
0310,02301780,41.4398,102.9805,2.4851,148.51
0310,02301793,3.7814,102.9805,27.2335,2623.35
0310,02301800,72.5197,102.9805,1.42,42.0
0310,02301802,75.1097,102.9805,1.3711,37.11
0310,02301900,24.6049,51.6957,2.101,110.1
0310,02301985,122.5064,143.8392,1.1741,17.41
0310,02301988,187.7741,594.3317,3.1651,216.51
0310,02301990,212.379,594.3317,2.7984,179.84
0310,02302280,134.6794,292.4124,2.1712,117.12
0310,02302500,284.8987,292.4124,1.0264,2.64
0310,02303000,569.7974,594.3317,1.0431,4.31
0310,02303090,41.4398,54.7318,1.3208,32.08
0310,02303100,38.8498,54.7318,1.4088,40.88
0310,02303174,5.18,53.9356,10.4123,941.23
0310,02303180,18.7256,53.9356,2.8803,188.03
0310,02303200,62.1597,53.9356,0.8677,-13.23
0310,02303205,70.9657,184.9758,2.6066,160.66
0310,02303250,1.2173,80.2945,65.9615,6496.15
0310,02303271,150.2193,184.9758,1.2314,23.14
0310,02303300,155.3993,184.9758,1.1903,19.03
0310,02303313,15.2809,184.9758,12.105,1110.5
0310,02303325,958.2956,923.8021,0.964,-3.6
0310,02303330,971.2455,1524.0888,1.5692,56.92
0310,02303332,1017.8653,1524.0888,1.4973,49.73
0310,02303348,44.0298,85.6551,1.9454,94.54
0310,02303350,59.5697,85.6551,1.4379,43.79
0310,02303354,1061.8951,1524.0888,1.4353,43.53
0310,02303358,18.4148,99.4707,5.4017,440.17
0310,02303360,1113.6949,1524.0888,1.3685,36.85
0310,02303379,8.7283,99.4707,11.3964,1039.64
0310,02303400,145.0393,157.337,1.0848,8.48
0310,02303408,189.5871,297.4808,1.5691,56.91
0310,02303410,19.9429,297.4808,14.9166,1391.66
0310,02303420,303.0286,436.7677,1.4413,44.13
0310,02303800,414.3981,436.7677,1.054,5.4
0310,02304500,1616.1526,1648.975,1.0203,2.03
0310,02304510,1618.7426,1648.975,1.0187,1.87
0310,02304517,1621.3326,1648.975,1.017,1.7
0310,02304520,1647.2324,1648.975,1.0011,0.11
0310,02305000,6.993,196.2274,28.0607,2706.07
0310,02305500,31.0799,1648.975,53.0561,5205.61
0310,02305780,3.5483,1648.975,464.7247,46372.47
0310,02305851,6.7081,1648.975,245.8196,24481.96
0310,02305855,9.0132,1648.975,182.952,18195.2
0310,023060013,1649.8224,1648.975,0.9995,-0.05
0310,02306006,2.9785,1648.975,553.6285,55262.85
0310,02306021,1.3209,1648.975,1248.378,124737.8
0310,02306028,1797.4517,1648.975,0.9174,-8.26
0310,02306071,3.3411,1748.6852,523.3885,52238.85
0310,02306289,5.698,56.0348,9.8342,883.42
0310,02306500,19.2436,56.0348,2.9119,191.19
0310,02306647,37.0368,56.0348,1.5129,51.29
0310,02306660,3.885,55.6218,14.3171,1331.71
0310,02306774,45.3248,196.2274,4.3294,332.94
0310,02306904,16.0579,196.2274,12.22,1122.0
0310,02306910,18.5443,196.2274,10.5815,958.15
0310,02307000,90.6496,196.2274,2.1647,116.47
0310,02307032,2.331,87.4047,37.4968,3649.68
0310,02307200,12.9758,103.7667,7.9969,699.69
0310,02307243,25.8999,103.7667,4.0065,300.65
0310,02307323,44.0298,103.7667,2.3567,135.67
0310,02307359,77.6996,103.7667,1.3355,33.55
0310,02307362,95.8296,103.7667,1.0828,8.28
0310,02307445,4.144,103.7667,25.0403,2404.03
0310,02307498,168.3492,158.0769,0.939,-6.1
0310,02307668,9.5053,75.1808,7.9094,690.94
