site_no,meta_nwis_drain_area_km2,api_nwis_drain_area_km2,meta_wbd_upstream_hu12_km2,meta_minus_api_pct
02293681,53.094756261888,53.0948,392.5603807388909,0.0
02293694,150.219310399488,150.2193,392.5603807388909,0.0
02293986,414.39809765376,414.3981,593.0547223889886,0.0
02293987,419.578073874432,419.5781,593.0547223889886,0.0
02294068,59.569726537728,59.5697,82.82009317162974,0.0
02294161,530.4295649968128,530.4296,593.0547223889886,0.0
02294217,137.26936984780798,137.2694,159.4730888687525,0.0
02294260,,,159.4730888687525,
02294261,,,159.4730888687525,
02294290,157.989274730496,157.9893,159.4730888687525,0.0
02294330,55.4257455611904,55.4257,54.90073831050262,0.0
02294405,48.6917764743168,48.6918,369.9183661447064,0.0
02294491,349.64839489536,349.6484,369.9183661447064,0.0
02294650,1010.09536303104,1010.0954,1448.2658499695908,0.0
02294655,1023.04530358272,1023.0453,1448.2658499695908,0.0
02294705,,,1448.2658499695908,
02294747,,,1448.2658499695908,
02294760,,,83.81896744390077,
02294775,1025.635291693056,1025.6353,1448.2658499695908,0.0
02294781,1064.485113348096,1064.4851,1448.2658499695908,0.0
02294898,1243.19429296128,1243.1943,1448.2658499695908,0.0
02295013,122.2474388078592,122.2474,165.32871601291174,0.0
02295163,111.369488744448,111.3695,57.73773172900446,0.0
02295194,1587.662711635968,1587.6627,2028.3491288320545,0.0
02295203,1590.252699746304,1590.2527,2028.3491288320545,0.0
02295420,313.388561350656,313.3886,312.43000662080067,0.0
02295435,13.752836865884158,13.7528,2028.3491288320545,0.0
02295440,1952.851035193344,1952.851,2028.3491288320545,0.0
02295520,,,121.85402973360566,
02295521,,,121.85402973360566,
02295580,,,121.85402973360566,
02295607,2092.710393151488,2092.7104,2028.3491288320545,0.0
02295637,2139.330179137536,2139.3302,2190.90261722901,0.0
02295755,9.71245541376,9.7125,2190.90261722901,0.0
02295798,,,3257.1980523767875,
02295850,38.84982165504,38.8498,58.09731168157651,0.0
02296057,45.32479193088,45.3248,47.12161747196472,0.0
02296180,54.9077479391232,54.9077,94.61897753916904,0.0
02296191,79.2536361762816,79.2536,94.61897753916904,0.0
02296207,98.6785470038016,98.6785,94.61897753916904,0.0
02296222,108.5205018230784,108.5205,168.9549687031796,0.0
02296223,108.5205018230784,108.5205,168.9549687031796,0.0
02296260,497.277717184512,497.2777,553.288100813392,0.0
02296389,168.60822598287356,168.6082,173.93111475462075,0.0
02296500,854.69607641088,854.6961,864.2573604861224,0.0
02296525,,,3257.1980523767875,
02296750,3540.513746829312,3540.5137,3831.924312580882,0.0
02297000,,,332.46068211037607,
02297100,341.878430564352,341.8784,332.46068211037607,0.0
02297105,4325.28014426112,4325.2801,3831.924312580882,0.0
02297153,34.964839489536,34.9648,100.49818651704904,0.0
02297155,108.779500634112,108.7795,300.9085169861849,0.0
02297220,123.80143167406078,123.8014,224.3569405560601,0.0
02297251,336.69845434368,336.6985,436.0802596501188,0.0
02297272,39.1088204660736,39.1088,42.946585817548,0.0
02297290,74.33265876664319,74.3327,75.43358146753565,0.0
02297310,564.6174080532479,564.6174,627.9560024184627,0.0
02297345,,,4599.151207517376,
02297350,4610.17883639808,4610.1788,4599.151207517376,0.0
02297460,4843.27776632832,4843.2778,5746.509142333588,0.0
02297600,,,198.1594209755774,
02297635,233.3579287412736,233.3579,247.11337708765703,0.0
02297733,17.19752105263104,17.1975,639.845180240423,0.0
02297875,37.2958287888384,37.2958,168.4531837235658,0.0
02298110,,,639.845180240423,
02298123,603.467229708288,603.4672,983.561968929096,0.0
02298124,631.957098921984,631.9571,983.561968929096,0.0
02298170,673.39690868736,673.3969,983.561968929096,0.0
02298202,966.065565155328,966.0656,983.561968929096,0.0
02298300,5956.972653772799,5956.9727,5942.172875903385,0.0
274319081452000,0.3107985732403199,0.3108,57.16063555396789,-0.0
280242081531600,,,159.4730888687525,
280441081520200,,,159.4730888687525,
280531081520500,,,159.4730888687525,
280531081520501,,,159.4730888687525,
280557081512300,,,159.4730888687525,
