site_no,station_name,usgs_da_km2,usgs_da_source,name_peace_river,name_tributary,name_lake_outlet,name_lake,name_canal,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,nhd_first_totdasqkm,nhd_first_streamorde,nhd_first_ftype,nhd_first_gnis,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,swat_nhd_pct_diff,assignment_class,calibration_eligible,reason_code,production_gis_channel,production_nhdplusid,production_nhd_pick_rule,v1_draft_nhdplusid,production_pick_rule,v1_draft_pick_rule,v1b_context,prod_eq_v1b,prod_eq_v1b_nhd,prod_eq_v1b_gis,v1b_changed_from_draft,audit_v1b_ratio_swat_vs_tda,audit_v1b_pct_diff_vs_tda,audit_v1b_ratio_swat_vs_orig_up,audit_prod_ratio_swat_vs_tda,audit_prod_pct_diff_vs_tda,notes,v1b_nhdplusid_p1b,v1b_pick_rule_p1b,v1_draft_context,prod_eq_draft,draft_eq_v1b,production_nhdplusid_p0,audit_v1b_usgs_site_no,audit_v1b_station_name,audit_v1b_nhdplusid_crosswalk,audit_v1b_crosswalk_snap_dist_m,audit_v1b_nhdplusid_gage_pick_500m,audit_v1b_crosswalk_eq_gage_pick,audit_v1b_nhd_gage_pick_rule,audit_v1b_swat_chandeg_km2,audit_v1b_nhd_local_areasqkm_km2,audit_v1b_nhd_totdasqkm_km2,audit_v1b_nhd_orig_upstream_catchment_sum_km2,audit_v1b_nhd_clean_upstream_catchment_sum_km2,audit_v1b_nhd_orig_upstream_waterbody_km2,audit_v1b_nhd_orig_upstream_n_reaches,audit_v1b_nhd_clean_upstream_n_reaches,audit_v1b_usgs_da_km2,audit_v1b_pct_diff_vs_local,audit_v1b_ratio_swat_vs_local,audit_v1b_pct_diff_vs_orig_up,audit_v1b_pct_diff_vs_clean_up,audit_v1b_ratio_swat_vs_clean_up,audit_prod_usgs_site_no,audit_prod_station_name,audit_prod_nhdplusid_crosswalk,audit_prod_crosswalk_snap_dist_m,audit_prod_nhdplusid_gage_pick_500m,audit_prod_crosswalk_eq_gage_pick,audit_prod_nhd_gage_pick_rule,audit_prod_swat_chandeg_km2,audit_prod_nhd_local_areasqkm_km2,audit_prod_nhd_totdasqkm_km2,audit_prod_nhd_orig_upstream_catchment_sum_km2,audit_prod_nhd_clean_upstream_catchment_sum_km2,audit_prod_nhd_orig_upstream_waterbody_km2,audit_prod_nhd_orig_upstream_n_reaches,audit_prod_nhd_clean_upstream_n_reaches,audit_prod_usgs_da_km2,audit_prod_pct_diff_vs_local,audit_prod_ratio_swat_vs_local,audit_prod_pct_diff_vs_orig_up,audit_prod_ratio_swat_vs_orig_up,audit_prod_pct_diff_vs_clean_up,audit_prod_ratio_swat_vs_clean_up
02294330,LAKE LENA RUN NEAR AUBURNDALE FL,55.4257455611904,nwis_drain_area_km2,False,True,False,True,False,15000700046384,nhd_first_v1b_levelpath,lake_related,,460,False,48.74330006,2,460,,2072,1889.0,exact_crosswalk,15000700046384,0,True,48.74330006,63.5854851,1.3044969261771395,30.449692617713985,lake_outlet_review,False,lake_outlet_manual_review,2072,15000700046384,da_distance,15000700046384,da_distance,nhd_first_distance_fallback,lake_related,True,True,True,False,,,,,,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700046384,nhd_first_v1b_levelpath,lake_related,True,True,15000700046384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294405,"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL",48.6917764743168,nwis_drain_area_km2,False,False,False,False,True,15000700057695,nhd_first_v1b_levelpath,canal,,460,False,32.95929996,3,460,,1181,1120.0,exact_crosswalk,15000700057695,0,True,32.95929996,48.5323176,1.4724923666127523,47.24923666127524,canal_or_artificial_review,False,canal_or_artificial_manual_review,1181,15000700021579,da_distance,15000700057695,da_distance,nhd_first_canal_ftype,canal,False,False,True,False,,,,,,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700057695,nhd_first_v1b_levelpath,canal,False,True,15000700021579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294491,SADDLE CREEK AT STRUCTURE P-11 NEAR BARTOW FL,349.64839489536,nwis_drain_area_km2,False,True,False,False,False,15000700045991,nhd_first_v1b_gnis,tributary,Saddle Creek,558,True,281.84169988,4,558,Saddle Creek,770,733.0,exact_crosswalk,15000700045991,0,True,281.84169988,335.25871440000003,1.1895284286986043,18.95284286986043,tributary_clean,True,calibration_ready,770,15000700021939,da_distance,15000700045991,da_distance,nhd_first_tributary_local_gnis,tributary,False,False,True,False,,,,,,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700045991,nhd_first_v1b_gnis,tributary,False,True,15000700021939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294650,"PEACE RIVER AT SR 60 AT BARTOW, FL",1010.09536303104,nwis_drain_area_km2,True,False,False,False,False,15000700034172,nhd_first_v1b_gnis,mainstem,Peace River,558,True,842.36539974,5,558,Peace River,439,417.0,exact_crosswalk,15000700034172,0,True,842.36539974,987.6217969,1.1724387032098351,17.243870320983515,mainstem_known_nhd_offset,True,calibration_ready_documented_nhd_offset,439,15000700010251,da_distance,15000700034172,da_distance,nhd_first_mainstem_levelpath_gnis,mainstem,False,False,True,False,,,,,,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700034172,nhd_first_v1b_gnis,mainstem,False,True,15000700010251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294655,PEACE RIVER NEAR BARTOW FL,1023.04530358272,nwis_drain_area_km2,True,False,False,False,False,15000700058476,nhd_first_v1b_gnis,mainstem,Peace River,558,True,865.3414998,5,558,Peace River,427,405.0,lake_outlet_replacement,15000700058475,1,True,865.3414998,1046.57317,1.2094336978428593,20.943369784285938,lake_outlet_review,False,lake_outlet_manual_review,427,15000700058476,distance_only,15000700058476,distance_only,nhd_first_mainstem_levelpath_gnis,mainstem,True,True,True,False,,,,,,Mapped at downstream step 1 to NHD 15000700058475 (ref 15000700058476).,15000700058476,nhd_first_v1b_gnis,mainstem,True,True,15000700058476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294705,PEACE RV DISTRIBUTARY AT DOVER SINK NR BARTOW FL,1448.2658499695908,wbd_upstream_hu12_area_sqkm,False,False,False,False,False,15000700058476,nhd_first_v1b_levelpath,mainstem,Peace River,558,True,865.3414998,5,558,Peace River,427,405.0,lake_outlet_replacement,15000700058475,1,True,865.3414998,1046.57317,1.2094336978428593,20.943369784285938,lake_outlet_review,False,lake_outlet_manual_review,427,15000700058476,distance_only,15000700058476,distance_only,nhd_first_mainstem_levelpath_gnis,cumulative,True,True,True,False,,,,,,Mapped at downstream step 1 to NHD 15000700058475 (ref 15000700058476).,15000700058476,nhd_first_v1b_levelpath,cumulative,True,True,15000700058476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294747,SIXMILE CREEK AT BARTOW FL,1448.2658499695908,wbd_upstream_hu12_area_sqkm,False,True,False,False,False,15000700058475,nhd_first_v1b_levelpath,tributary,Peace River,558,True,891.56249983,5,558,Peace River,427,405.0,exact_crosswalk,15000700058475,0,True,891.56249983,1046.57317,1.1738640535010805,17.38640535010802,tributary_clean,True,calibration_ready,427,15000700058475,da_distance,15000700058475,da_distance,nhd_first_tributary_local_gnis,tributary,True,True,True,False,,,,,,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700058475,nhd_first_v1b_levelpath,tributary,True,True,15000700058475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294760,BARBER BRANCH NEAR HOMELAND FL,83.81896744390077,wbd_upstream_hu12_area_sqkm,False,True,False,False,False,15000700046375,nhd_first_v1b_gnis,tributary,Barber Branch,460,False,4.05980003,1,460,Barber Branch,6981,6074.0,exact_crosswalk,15000700046375,0,True,4.05980003,4.874057199999999,1.2005658318101935,20.05658318101937,tributary_clean,True,calibration_ready,6981,15000700058475,da_distance,15000700046375,da_distance,nhd_first_tributary_local_gnis,tributary,False,False,True,False,,,,,,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700046375,nhd_first_v1b_gnis,tributary,False,True,15000700058475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294775,PEACE RIVER AT CLEAR SPRINGS NEAR BARTOW FL,1025.635291693056,nwis_drain_area_km2,True,False,False,False,False,15000700058476,nhd_first_v1b_gnis,mainstem,Peace River,558,True,865.3414998,5,558,Peace River,427,405.0,lake_outlet_replacement,15000700058475,1,True,865.3414998,1046.57317,1.2094336978428593,20.943369784285938,lake_outlet_review,False,lake_outlet_manual_review,427,15000700058475,da_distance,15000700058476,da_distance,nhd_first_mainstem_levelpath_gnis,mainstem,False,False,True,False,,,,,,Mapped at downstream step 1 to NHD 15000700058475 (ref 15000700058476).,15000700058476,nhd_first_v1b_gnis,mainstem,False,True,15000700058475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02294781,PEACE RIVER NEAR HOMELAND FL,1064.485113348096,nwis_drain_area_km2,True,False,False,False,False,15000700060284,nhd_first_v1b_gnis,mainstem,Peace River,558,True,910.65249984,5,558,Peace River,422,400.0,exact_crosswalk,15000700060284,0,True,910.65249984,1066.4732311,1.1711088821338298,17.110888213382978,mainstem_known_nhd_offset,True,calibration_ready_documented_nhd_offset,422,15000700060284,distance_only,15000700060284,distance_only,nhd_first_mainstem_levelpath_gnis,mainstem,True,True,True,False,1.1711,17.11,1.1711,1.1711,17.11,Exact NHDPlusID crosswalk to chandeg gis_id.,15000700060284,nhd_first_v1b_gnis,mainstem,True,True,15000700060284,02294781,PEACE RIVER NEAR HOMELAND FL,15000700060284.0,69.3,15000700060284.0,True,distance_only,1066.47,15.03,910.65,910.65,901.85,128.27,970.0,959.0,1448.27,6995.63,70.9563,17.11,18.25,1.1825,02294781,PEACE RIVER NEAR HOMELAND FL,15000700060284.0,69.3,15000700060284.0,True,distance_only,1066.47,15.03,910.65,910.65,901.85,128.27,970.0,959.0,1448.27,6995.63,70.9563,17.11,1.1711,18.25,1.1825
