catalog_model_id,workspace_model_id,label,site_no,station_name,usgs_da_km2,usgs_da_source,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,assignment_class,calibration_eligible,production_gis_channel,same_gis_as_production,notes
02294760,0310/huc12/02294760,0310/huc12/02294760 (FL),02294747,SIXMILE CREEK AT BARTOW FL,1448.2658499695908,wbd_upstream_hu12_area_sqkm,15000700010292,nhd_first_v1b_levelpath,tributary,,558.0,True,1.0,1.0,exact_crosswalk,15000700010292.0,0,True,13.19030001,3.7060219,0.2809657018559353,tributary_clean,True,1,True,
02294760,0310/huc12/02294760,0310/huc12/02294760 (FL),02294760,BARBER BRANCH NEAR HOMELAND FL,83.81896744390077,wbd_upstream_hu12_area_sqkm,15000700046375,nhd_first_v1b_gnis,tributary,Barber Branch,460.0,False,17.0,16.0,exact_crosswalk,15000700046375.0,0,True,4.05980003,4.874057199999999,1.2005658318101935,tributary_clean,True,17,True,
13329500,1706/huc12/13329500,1706/huc12/13329500 (OR),13329500,"HURRICANE CREEK NEAR JOSEPH, OREG.",76.6636480659456,meta_csv,55000600000016,nhd_first_v1b_gnis,tributary,Hurricane Creek,460.0,False,5.0,5.0,downstream_replacement,55000600008709.0,1,True,89.77609995,80.91278080000001,0.9012730653822528,tributary_clean,True,6,False,Mapped at downstream step 1 to NHD 55000600008709 (ref 55000600000016).
01115185,0109/huc12/01115185,0109/huc12/01115185 (RI),01115185,"WINSOR BROOK AT WINSOR RD NEAR SOUTH FOSTER, RI",11.18874863665152,meta_csv,5000801711436,nhd_first_v1b_levelpath,tributary,,,False,44.0,38.0,exact_crosswalk,5000801711436.0,0,True,11.17720004,11.1806519,1.0003088304752217,tributary_clean,True,36,False,
01115185,0109/huc12/01115185,0109/huc12/01115185 (RI),01115187,"PONAGANSET RIVER AT SOUTH FOSTER, RI",37.2958287888384,meta_csv,5000801767104,nhd_first_v1b_levelpath,mainstem,,,False,6.0,2.0,exact_crosswalk,5000801767104.0,0,True,37.84210012,37.8613676,1.0005091546171831,mainstem_clean,True,6,True,
01115185,0109/huc12/01115185,0109/huc12/01115185 (RI),01115190,"DOLLY COLE BK AT OLD DANIELSON PK AT S FOSTER, RI",12.6909417406464,meta_csv,5000801767104,nhd_first_v1b_levelpath,tributary,,,False,6.0,2.0,exact_crosswalk,5000801767104.0,0,True,37.84210012,37.8613676,1.0005091546171831,tributary_clean,True,47,False,
01115185,0109/huc12/01115185,0109/huc12/01115185 (RI),01115265,"HEMLOCK BROOK AT KING ROAD NR FOSTER, RI",22.58469632212992,meta_csv,5000801729471,nhd_first_v1b_levelpath,tributary,,,False,25.0,20.0,exact_crosswalk,5000801729471.0,0,True,22.67790002,22.6853936,1.0003304353574798,tributary_clean,True,27,False,
03262001,0509/huc12/03262001,0509/huc12/03262001 (KY),03262001,"WOOLPER CREEK AT WOOLPER ROAD NEAR BURLINGTON, KY",62.6777122701312,meta_csv,24000200088880,nhd_first_v1b_gnis,tributary,Woolper Creek,558.0,True,14.0,14.0,exact_crosswalk,24000200088880.0,0,True,61.85249997,62.632722400000006,1.0126142424377096,tributary_clean,True,12,False,
01109090,0109/huc12/01109090,0109/huc12/01109090 (MA),01109090,"RATTLESNAKE BROOK NEAR ASSONET, MA",10.95564970672128,meta_csv,5000801717212,nhd_first_v1b_levelpath,tributary,,,False,56.0,40.0,exact_crosswalk,5000801717212.0,0,True,11.01450004,11.0217318,1.000656567249874,tributary_clean,True,43,False,
05580950,0713/huc12/05580950,0713/huc12/05580950 (IL),05580950,"SUGAR CREEK NEAR BLOOMINGTON, IL",89.0955909955584,meta_csv,22000700027336,nhd_first_v1b_gnis,tributary,Sugar Creek,558.0,True,,,missing,,1,False,79.41830008,,,exclude_from_auto_calibration,False,1,False,No chandeg.con channel for reference reach or downstream walk.
