catalog_model_id,workspace_model_id,label,site_no,station_name,usgs_da_km2,usgs_da_source,v1b_nhdplusid,v1b_pick_rule,reference_class,reference_gnis,reference_ftype,reference_has_wb_link,swat_gis_id,swat_lcha,mapping_method,mapped_nhdplusid,replacement_steps_downstream,chandeg_present,nhd_tda_km2,swat_da_km2,swat_nhd_ratio,assignment_class,calibration_eligible,production_gis_channel,same_gis_as_production,notes
08380400,1306/usgs_station/08380400,1306/usgs_station/08380400 (NM),08379990,"GALLINAS CREEK AT BIG PINES NR GALLINAS, NM",138.00685449829226,meta_csv,35000800018794,nhd_first_v1b_gnis,tributary,Gallinas Creek,460,False,90,90.0,exact_crosswalk,35000800018794,0,True,42.51090002,42.493795899999995,0.999597653307929,tributary_clean,True,87,False,
08380400,1306/usgs_station/08380400,1306/usgs_station/08380400 (NM),08380040,"GALLINAS CREEK AT OAK FLAT NR GALLINAS, NM",138.00685449829226,meta_csv,35000800054074,nhd_first_v1b_gnis,tributary,Gallinas Creek,460,False,72,72.0,downstream_replacement,35000800010433,1,True,58.73620007,60.6483594,1.0325550397833216,tributary_clean,True,73,False,Mapped at downstream step 1 to NHD 35000800010433 (ref 35000800054074).
08380400,1306/usgs_station/08380400,1306/usgs_station/08380400 (NM),08380070,"BEAVER CREEK NEAR EL PORVENIR, NM",72.95979384549226,meta_csv,35000800062833,nhd_first_v1b_gnis,tributary,Beaver Creek,460,False,60,60.0,downstream_replacement,35000800054075,1,True,59.39649995,62.614299499999994,1.0541749017654027,tributary_clean,True,61,False,Mapped at downstream step 1 to NHD 35000800054075 (ref 35000800062833).
08380400,1306/usgs_station/08380400,1306/usgs_station/08380400 (NM),08380088,"BEAVER CREEK NEAR GALLINAS, NM",72.95979384549226,meta_csv,35000800045280,nhd_first_v1b_gnis,tributary,Gallinas Creek,460,False,55,55.0,downstream_replacement,35000800063026,1,True,65.10070005,138.1367832,2.1218939749327625,tributary_clean,True,56,False,Mapped at downstream step 1 to NHD 35000800063026 (ref 35000800045280).
08380400,1306/usgs_station/08380400,1306/usgs_station/08380400 (NM),08380400,"GALLINAS CREEK AT GALLINAS, NM",255.1254072335966,meta_csv,35000800045583,nhd_first_v1b_gnis,tributary,Gallinas Creek,460,False,48,48.0,exact_crosswalk,35000800045583,0,True,162.3512,162.2472517,0.9993597318652402,tributary_clean,True,47,False,
08380400,1306/usgs_station/08380400,1306/usgs_station/08380400 (NM),08380500,"GALLINAS CREEK NEAR MONTEZUMA, NM",217.559001268224,meta_csv,35000800002189,nhd_first_v1b_gnis,tributary,Gallinas Creek,460,False,42,42.0,exact_crosswalk,35000800002189,0,True,195.70860004,195.58780910000002,0.9993828020844496,tributary_clean,True,41,False,
08380400,1306/usgs_station/08380400,1306/usgs_station/08380400 (NM),08381000,"GALLINAS CREEK AT MONTEZUMA, NM",225.328965599232,meta_csv,35000800011354,nhd_first_v1b_gnis,tributary,Gallinas Creek,460,False,23,23.0,exact_crosswalk,35000800011354,0,True,230.92610002,233.75206859999997,1.0122375451703174,tributary_clean,True,109,False,
