bundle,model_id,label,hru_count,channel_count,rout_units,zip_mb
Oklawaha_S_030801020804.zip,030801020804,Oklawaha_S,473,45,53,7
UpperSanPedro_M_09471300.zip,09471300,UpperSanPedro_M,11284,1371,1367,67
Peace_L_94k_03100101.zip,03100101,Peace_L_94k,94303,8181,9341,334
LittleKanawaha_X20_03152000.zip,03152000,LittleKanawaha_X20,19530,1615,1606,95
Verdigris_X40_07174000.zip,07174000,Verdigris_X40,36833,2329,2411,114
UpperGila_X60_15060105.zip,15060105,UpperGila_X60,51685,17296,17266,296
FloridaCal_02297600.zip,02297600,FloridaCal,778,37,36,147
IllinoisCal_05536265.zip,05536265,IllinoisCal,1573,206,205,375
